 0000000001,  0000000001,  0.16169728088479294E+008,  0.10000000000000001E+000,  0.10000000000000001E+000, 
 0000000001,  0000000002,  0.46497424397723243E+006,  0.10326970295044788E+002, -0.69349983463624085E+002, 
 0000000001,  0000000003,  0.26235031887510249E+009,  0.49722776925108462E+002,  0.39965171883155023E+002, 
 0000000001,  0000000004,  0.54431945861806199E+008,  0.27543199858682883E+002, -0.13305382729868640E+002, 
 0000000001,  0000000005,  0.31292231682449543E+009, -0.33070461072327234E+002, -0.14224793888901672E+001, 
 0000000001,  0000000006,  0.81247867830908227E+009,  0.77835330907580044E+002, -0.76499513070353046E+002, 
 0000000001,  0000000007,  0.19687733510268319E+010, -0.98852157638672281E+002, -0.74066136767300890E+002, 
 0000000001,  0000000008,  0.81694375714556205E+009,  0.78009788966949117E+002, -0.77519109746450155E+002, 
 0000000001,  0000000009,  0.45809472884663063E+009, -0.41217488145622070E+002,  0.56304396516562207E+002, 
 0000000001,  0000000010,  0.23638339976122256E+008, -0.14771234268587961E+001,  0.31128861646354665E+002, 
 0000000002,  0000000001,  0.15337527475227997E+009,  0.38385242644747862E+002, -0.99900000000000006E+002, 
 0000000002,  0000000002,  0.33886060373629290E+009, -0.36267210169470495E+002, -0.10000000000000000E+003, 
 0000000002,  0000000003,  0.25026348865414333E+009,  0.48120477218466249E+002, -0.63175298504591026E+001, 
 0000000002,  0000000004,  0.44938905944006586E+009, -0.41245994525743527E+002,  0.21112687488484497E+002, 
 0000000002,  0000000005,  0.13674795433217673E+008,  0.18476275953363547E+002, -0.22702613585505304E+002, 
 0000000002,  0000000006,  0.20184014999439785E+009,  0.43462112747321228E+002, -0.56346272934491708E+002, 
 0000000002,  0000000007,  0.12104436121569527E+008,  0.11478423613277187E+001, -0.18058552162874591E+002, 
 0000000002,  0000000008,  0.15682451463452005E+009, -0.21990211033050883E+002, -0.10000000000000000E+003, 
 0000000002,  0000000009,  0.10510333379243258E+010, -0.69402611154454519E+002, -0.42582536837678404E+002, 
 0000000002,  0000000010,  0.76262649119749904E+008,  0.29994427407175664E+002, -0.68871138353645335E+002, 
 0000000003,  0000000001,  0.30336791901176598E+008, -0.48805666014304947E+001, -0.94490249150184169E+002, 
 0000000003,  0000000002,  0.24014602277033785E+009, -0.28645221706116615E+002, -0.61881175207258636E+002, 
 0000000003,  0000000003,  0.25911203999754645E+008,  0.20673229780055834E+002, -0.10000000000000000E+003, 
 0000000003,  0000000004,  0.41403529432539880E+009, -0.40048609691044668E+002, -0.37321178273302699E+002, 
 0000000003,  0000000005,  0.33119444123523211E+009,  0.52511405986775969E+002, -0.98493012983495760E+002, 
 0000000003,  0000000006,  0.13839365373160642E+008,  0.73346014414127580E-001, -0.51877719724958411E+002, 
 0000000003,  0000000007,  0.82096908378962708E+009,  0.79645357577447939E+002,  0.20855372051150404E+002, 
 0000000003,  0000000008,  0.16647189175543263E+010, -0.90331459430031913E+002, -0.83326628318533665E+002, 
 0000000003,  0000000009,  0.16564138519339141E+009, -0.22832642799035050E+002, -0.10000000000000000E+003, 
 0000000003,  0000000010,  0.80961010567331493E+008, -0.13435623515706119E+002, -0.10000000000000000E+003, 
 0000000004,  0000000001,  0.78720725398763031E+008, -0.12281479446754158E+002, -0.41692489270382239E+002, 
 0000000004,  0000000002,  0.37817275084540062E+007,  0.13883331700559786E+002, -0.44401992421446202E+002, 
 0000000004,  0000000003,  0.40321350109264836E+008, -0.62639639190676384E+001, -0.48671342376969974E+002, 
 0000000004,  0000000004,  0.44824318983934802E+009,  0.59951390308955332E+002, -0.83240822739429944E+002, 
 0000000004,  0000000005,  0.13745479348270148E+007,  0.60518956169236588E+001, -0.69942636901643624E+002, 
 0000000004,  0000000006,  0.24266441370721138E+009, -0.28693815367645112E+002, -0.51829500729819109E+002, 
 0000000004,  0000000007,  0.15649131854502916E+009, -0.20354642422552061E+002,  0.89415094111527882E+001, 
 0000000004,  0000000008,  0.51204349217723209E+009, -0.46053010124111324E+002, -0.69400676744645338E+002, 
 0000000004,  0000000009,  0.21152669477104926E+009,  0.44212409042016183E+002, -0.60805400752779164E+002, 
 0000000004,  0000000010,  0.21452859442803505E+009, -0.25670161279520215E+002,  0.00000000000000000E+000, 
 0000000005,  0000000001,  0.86101172616751210E+005,  0.10789588544112011E+002,  0.15473036406966997E+002, 
 0000000005,  0000000002,  0.18301446743889049E+009,  0.41803263220590033E+002, -0.57182023566360989E+002, 
 0000000005,  0000000003,  0.49089242205591008E+008, -0.83458637056376510E+001, -0.82347724642217472E+002, 
 0000000005,  0000000004,  0.97960291943153536E+009,  0.84448815245492099E+002, -0.87482621373879539E+002, 
 0000000005,  0000000005,  0.19247420178146949E+009, -0.24501886542149958E+002, -0.47846620507068977E+002, 
 0000000005,  0000000006,  0.40424185842527032E+008,  0.24119499605689445E+002, -0.76191665545232993E+002, 
 0000000005,  0000000007,  0.37572573747258961E+009, -0.38502044236743721E+002, -0.91058490588847206E+002, 
 0000000005,  0000000008,  0.29361708962592012E+009,  0.50252208294872247E+002, -0.77161518693337868E+002, 
 0000000005,  0000000009,  0.47787443321405381E+009, -0.43888420501796482E+002, -0.48943401092930650E+002, 
 0000000005,  0000000010,  0.19031032786350804E+007,  0.80695181102057845E+001,  0.99398061186142229E+002, 
 0000000006,  0000000001,  0.51369279324628793E+008,  0.28092889537261637E+002,  0.58347180664978922E+002, 
 0000000006,  0000000002,  0.41260453402559564E+008,  0.24810176027545673E+002, -0.41147682723009360E+002, 
